words,links,capital_words,spam_word_count,is_spam
238,0,2,2,0
958,2,19,4,1
200,1,1,1,0
416,2,0,4,0
20,1,3,0,0
183,4,2,3,0
138,0,10,9,1
106,8,17,3,1
39,0,4,0,0
171,1,0,1,0
590,5,5,8,1
868,10,16,5,1
712,7,23,10,1
856,10,13,0,1
73,2,4,1,0
344,0,3,1,0
238,2,2,5,0
37,1,2,2,0
451,2,18,7,1
735,7,30,1,1
652,3,26,1,1
351,2,23,0,1
195,2,5,0,1
68,1,1,6,0
57,5,16,6,1
738,7,22,8,1
932,6,7,5,1
65,7,28,10,1
74,0,2,0,0
269,0,1,2,0
66,1,10,2,0
88,2,18,8,1
78,2,0,2,0
366,2,3,0,0
316,3,0,7,1
589,2,3,10,1
300,1,4,1,0
174,6,29,5,1
345,0,1,1,0
134,1,1,3,0
142,0,0,1,0
23,3,0,1,0
147,0,0,1,0
121,2,10,3,1
245,2,2,2,0
130,2,9,3,1
918,6,1,5,1
106,7,8,3,1
169,9,12,8,1
93,0,0,4,0
150,5,1,7,1
607,9,11,1,1
984,4,17,9,1
176,4,5,5,1
296,3,17,0,1
283,2,0,1,0
215,1,5,2,0
120,0,17,6,1
169,0,4,1,0
458,2,2,2,0
100,7,20,5,1
638,9,1,6,1
275,2,26,7,1
181,1,3,0,0
170,2,0,0,0
90,2,21,6,1
119,1,0,3,0
142,2,10,3,1
259,1,7,2,0
530,10,21,7,1
775,5,12,2,1
174,2,2,2,0
311,1,8,5,1
191,6,10,9,1
641,1,8,7,1
155,2,25,8,1
897,7,4,10,1
148,2,3,2,0
45,1,2,1,0
131,1,2,4,0
125,1,3,2,0
122,2,2,2,0
209,0,8,1,0
807,7,3,7,1
274,2,2,5,1
959,3,28,4,1
246,1,7,0,0
788,1,29,5,1
709,4,0,3,1
149,2,0,0,0
728,2,22,3,1
192,1,0,2,0
78,1,3,1,0
695,3,25,10,1
542,2,22,3,1
51,2,24,3,1
187,0,2,2,0
794,2,6,9,1
247,2,0,0,0
162,2,1,1,0
451,1,2,1,0
898,9,8,4,1
768,9,4,2,1
497,3,5,7,1
31,5,1,6,0
260,1,0,2,0
426,0,2,1,0
170,1,2,0,0
177,0,3,4,0
100,1,0,1,0
131,2,6,6,1
328,10,30,10,1
832,8,2,10,1
73,0,3,1,0
214,0,3,1,0
951,6,21,10,1
927,8,9,9,1
172,1,2,4,0
230,2,1,1,0
543,10,9,8,1
275,2,2,2,0
489,2,26,8,1
253,0,3,1,0
223,0,0,2,0
212,2,0,6,0
246,2,2,2,0
255,2,3,2,0
814,0,7,9,1
186,8,1,7,1
552,4,23,9,1
267,5,2,1,0
160,1,1,2,0
140,8,25,7,1
440,4,4,2,0
194,1,4,5,0
865,10,5,6,1
168,3,27,5,1
710,8,12,9,1
647,5,17,10,1
91,0,1,0,0
85,2,0,2,0
210,3,5,0,0
459,1,0,2,0
510,4,21,9,1
115,2,6,0,1
161,9,17,9,1
62,1,1,0,0
124,1,9,0,0
73,1,1,2,0
488,8,20,1,1
26,0,0,0,0
324,8,19,10,1
510,4,24,9,1
254,0,1,2,0
212,1,3,1,0
232,0,4,8,1
359,2,1,0,0
664,10,6,7,1
35,2,2,5,0
400,0,0,1,0
110,1,2,0,0
421,7,17,5,1
26,4,1,1,0
162,4,2,5,0
560,5,0,4,1
89,5,15,9,1
506,10,9,10,1
887,10,16,3,1
274,4,3,4,0
261,1,3,0,0
210,0,10,0,0
589,8,20,6,1
198,3,3,2,0
244,3,1,2,0
163,1,0,1,0
390,7,26,5,1
119,10,13,5,1
795,5,14,1,1
193,2,0,0,0
63,2,17,0,1
937,8,7,8,1
81,10,0,8,1
178,0,9,6,0
212,0,3,3,0
733,7,9,9,1
98,6,3,6,1
630,8,27,5,1
120,0,2,0,0
457,6,26,10,1
290,1,0,0,0
349,10,25,6,1
916,6,22,7,1
305,8,12,4,1
166,0,0,2,0
935,5,18,9,1
145,6,17,7,1
254,1,0,2,0
472,9,20,1,1
21,1,7,3,0
476,0,1,2,0
163,2,3,2,0
948,5,26,1,1
218,2,3,1,0
574,10,21,7,1
159,0,1,2,0
130,3,3,1,0
154,2,23,9,1
456,0,5,1,0
167,0,0,1,0
165,1,1,2,0
715,2,14,7,1
130,8,18,8,1
418,7,20,3,1
225,2,1,2,0
80,9,8,8,1
289,0,0,0,0
83,4,2,1,0
29,0,1,2,0
555,2,17,3,1
317,0,1,1,0
241,2,19,3,1
100,2,1,2,0
169,1,0,6,0
257,4,3,1,0
420,0,11,4,1
71,5,2,1,0
374,4,10,9,1
92,1,7,0,0
79,2,3,6,0
42,2,3,1,0
177,10,11,7,1
164,1,3,1,0
102,4,27,10,1
60,2,3,2,0
214,0,2,3,0
212,3,19,7,1
672,10,7,10,1
955,8,30,7,1
132,2,2,6,0
560,9,11,0,1
640,2,29,7,1
92,1,3,1,0
185,0,3,1,0
220,2,1,1,0
144,2,3,1,0
184,3,2,2,0
243,2,2,2,0
132,2,2,0,0
705,9,23,9,1
41,2,0,2,0
244,2,1,2,0
250,2,3,1,0
475,4,15,8,1
208,2,0,0,0
274,2,0,2,0
266,1,1,0,0
181,2,0,2,0
288,3,6,1,0
103,1,3,2,0
186,0,2,1,0
47,0,0,1,0
615,7,7,7,1
187,4,9,5,1
35,2,0,2,0
66,2,29,3,1
443,0,0,1,0
161,4,22,3,1
874,8,5,8,1
54,4,3,1,0
567,1,16,4,1
723,2,3,5,1
188,7,10,7,1
593,8,15,3,1
174,2,1,1,0
68,1,1,1,0
295,1,2,5,0
402,1,1,1,0
85,9,0,7,1
247,2,3,2,0
160,2,2,0,0
152,1,3,2,0
361,3,14,10,1
328,0,12,6,1
874,6,25,4,1
121,1,3,6,0
47,1,8,1,0
46,2,0,0,0
496,2,3,0,0
109,1,3,0,0
330,2,0,2,1
218,2,2,0,0
214,2,3,0,0
647,7,22,9,1
119,0,27,7,1
324,1,10,3,1
381,3,24,3,1
900,3,13,3,1
109,2,5,2,1
743,3,4,1,1
948,8,2,8,1
224,1,6,2,0
458,5,22,9,1
925,6,5,10,1
229,0,4,6,0
24,4,0,5,0
80,4,19,6,1
529,3,0,8,1
55,4,10,10,1
641,10,14,3,1
493,3,1,4,0
784,9,6,3,1
473,1,0,1,0
83,1,0,0,0
282,1,1,1,0
224,0,3,2,0
66,0,1,2,0
184,2,3,1,0
75,1,4,0,0
944,2,7,10,1
778,4,28,6,1
213,7,7,2,1
278,4,0,0,0
153,2,3,1,0
193,0,0,2,0
108,6,9,2,1
898,10,25,3,1
764,6,14,10,1
83,0,3,2,0
198,7,22,8,1
235,1,0,1,0
148,8,4,8,1
515,7,29,2,1
133,4,23,3,1
308,4,1,1,1
773,7,1,4,1
747,8,18,5,1
983,3,14,5,1
219,1,3,1,0
895,5,21,4,1
501,7,7,5,1
609,6,5,2,1
125,2,0,2,0
319,1,3,2,0
460,3,15,4,1
810,7,16,4,1
170,8,23,4,1
229,0,4,1,0
200,0,1,1,0
177,1,1,2,0
27,2,2,0,0
26,0,6,3,0
656,6,27,3,1
765,1,26,10,1
260,8,5,4,1
188,0,1,0,0
71,6,14,5,1
329,3,1,2,0
140,10,18,9,1
108,10,20,5,1
54,2,1,1,0
47,1,1,0,0
172,0,0,6,0
141,9,5,1,1
92,2,5,1,1
378,2,2,1,0
289,0,14,6,1
192,2,30,7,1
151,2,9,9,1
107,3,29,10,1
131,5,10,2,1
176,5,4,4,1
849,2,10,5,1
394,9,5,5,1
140,2,14,2,1
255,2,26,1,1
902,7,9,1,1
76,3,5,9,1
896,3,17,8,1
179,5,7,8,1
596,2,6,2,1
184,2,0,0,0
224,1,3,2,0
247,1,1,4,0
275,0,0,3,0
754,2,12,5,1
218,1,3,3,0
638,7,25,9,1
155,2,8,1,0
517,2,18,10,1
988,3,14,4,1
302,2,2,2,0
195,0,3,2,0
196,1,0,6,0
51,0,2,2,0
301,10,30,3,1
68,0,1,2,0
158,9,12,7,1
261,2,0,2,0
209,2,0,1,0
531,0,6,3,1
337,1,4,3,1
240,0,0,2,0
83,2,23,3,1
258,2,0,0,0
490,1,2,6,0
467,8,1,8,1
92,1,2,0,0
955,5,11,5,1
227,3,1,1,0
81,5,23,3,1
21,0,1,2,0
806,10,23,7,1
90,8,23,6,1
913,8,3,8,1
286,3,2,2,0
237,8,10,3,1
941,5,16,4,1
68,2,2,0,0
591,9,7,4,1
200,1,0,0,0
716,4,9,8,1
638,5,29,8,1
130,1,2,5,0
479,1,0,1,0
994,9,20,1,1
92,3,29,10,1
209,0,2,2,0
336,2,9,9,1
249,0,3,2,0
35,0,1,0,0
414,3,26,10,1
162,2,4,0,0
218,4,3,1,0
118,1,1,2,0
184,2,1,1,0
252,10,17,9,1
149,1,7,2,0
90,2,1,1,0
447,1,8,2,0
600,8,15,6,1
829,1,6,6,1
279,2,0,2,0
849,2,8,1,1
633,8,19,7,1
150,2,3,1,0
107,2,2,6,0
264,1,4,1,0
126,0,13,10,1
577,3,19,5,1
259,0,1,6,0
744,6,2,3,1
210,2,3,4,0
212,0,4,0,0
208,0,3,4,0
279,2,2,5,0
198,0,2,2,0
809,3,5,10,1
88,0,1,1,0
264,0,0,2,0
583,2,10,6,1
270,2,2,2,0
37,0,1,2,0
155,5,9,2,0
165,1,0,0,0
137,2,2,0,0
27,1,2,2,0
379,3,14,10,1
300,1,1,5,0
869,5,5,3,1
28,1,2,2,0
60,1,7,3,0
144,8,27,10,1
967,9,19,9,1
742,6,23,6,1
894,4,11,2,1
52,2,0,1,0
200,2,1,2,0
185,1,2,2,0
289,1,2,0,0
514,5,7,10,1
186,0,2,1,0
49,1,2,1,0
505,4,25,6,1
235,8,2,3,1
381,4,6,2,0
501,2,9,8,1
188,0,0,2,0
128,1,3,0,0
955,6,10,8,1
158,6,19,1,1
476,10,11,8,1
701,1,23,7,1
545,7,19,3,1
237,1,3,2,0
665,2,23,0,1
888,2,8,5,1
187,1,0,2,0
754,6,17,9,1
794,4,1,0,1
979,2,19,6,1
380,2,5,2,0
131,10,16,7,1
197,0,3,0,0
408,2,21,0,1
35,1,0,2,0
930,0,5,7,1
298,3,1,2,0
637,3,30,1,1
304,1,6,2,0
750,3,18,3,1
618,6,20,10,1
360,3,0,1,0
372,8,6,9,1
558,6,24,5,1
89,4,2,2,0
332,7,5,6,1
789,10,8,9,1
58,1,3,1,0
225,2,27,10,1
415,4,21,10,1
637,5,8,10,1
138,5,2,1,0
80,10,25,7,1
171,1,3,1,0
601,7,3,5,1
292,1,3,0,0
245,1,5,5,1
165,4,3,1,0
168,2,7,2,0
106,10,11,10,1
119,2,3,1,0
114,8,6,9,1
247,0,2,5,0
244,0,0,0,0
870,7,1,10,1
129,1,8,2,0
953,8,14,3,1
504,3,0,10,1
195,1,2,2,0
983,5,4,7,1
186,6,12,4,1
196,1,1,2,0
107,6,24,0,1
232,1,2,0,0
153,1,1,1,0
47,2,0,2,0
848,8,0,3,1
121,7,5,8,1
133,0,20,6,1
178,1,2,2,0
640,4,2,0,1
274,2,0,1,0
716,0,2,6,1
341,4,27,3,1
875,2,21,7,1
284,2,3,1,0
602,8,28,6,1
443,0,3,1,0
153,4,1,1,0
166,2,1,2,0
123,4,2,2,0
292,2,0,5,0
643,5,27,6,1
271,1,0,2,0
495,6,4,9,1
220,1,0,0,0
299,5,27,10,1
581,0,13,6,1
840,7,24,5,1
286,1,1,0,0
261,1,2,2,0
685,3,24,10,1
57,1,2,4,0
161,5,27,6,1
249,7,10,9,1
87,0,1,0,0
125,2,2,2,0
565,10,14,10,1
232,2,30,6,1
574,9,1,5,1
254,4,4,8,1
81,0,2,2,0
123,9,2,6,1
190,2,0,1,0
822,9,20,5,1
259,4,0,1,0
812,7,11,6,1
364,10,24,8,1
274,1,2,2,0
259,2,7,7,1
909,8,13,7,1
208,0,0,1,0
576,6,2,5,1
156,2,2,1,0
221,0,6,1,0
75,0,2,1,0
208,5,3,0,0
863,7,17,5,1
259,3,15,6,1
293,2,0,1,0
891,8,10,3,1
818,6,7,0,1
88,1,5,1,0
241,0,9,4,0
239,1,8,1,0
359,9,7,8,1
217,2,3,2,0
62,0,1,1,0
55,3,2,10,1
243,2,2,4,0
946,7,16,10,1
23,1,2,0,0
236,0,2,0,0
250,2,0,1,0
508,5,24,8,1
279,2,3,5,1
238,1,7,2,0
48,2,9,1,0
214,3,2,1,0
283,8,30,1,1
382,5,4,9,1
170,10,2,6,1
425,6,2,5,1
154,3,27,0,1
225,0,3,6,0
158,1,2,2,0
183,0,2,0,0
39,4,0,1,0
71,0,0,2,0
126,3,21,9,1
486,9,27,3,1
56,1,4,0,0
368,1,13,4,1
369,6,9,8,1
119,1,11,5,1
231,1,2,6,0
429,9,27,9,1
193,7,18,1,1
399,9,21,2,1
596,7,5,8,1
69,0,3,1,0
671,7,7,9,1
71,1,24,9,1
133,3,20,1,1
76,2,2,2,0
835,5,18,10,1
790,9,13,1,1
270,2,3,1,0
120,2,21,3,1
196,0,9,6,1
888,7,9,8,1
735,7,16,2,1
771,0,12,8,1
620,6,8,0,1
62,2,2,0,0
338,0,0,0,0
511,3,26,5,1
857,2,25,0,1
78,5,3,2,0
130,8,10,3,1
224,2,3,2,0
194,0,3,1,0
158,1,10,1,0
638,4,5,9,1
290,0,3,6,0
472,2,1,2,0
660,6,4,7,1
205,4,3,3,1
986,5,27,5,1
181,2,12,2,1
953,10,29,7,1
313,1,10,2,0
847,4,19,7,1
30,1,3,0,0
908,2,29,9,1
721,3,5,0,1
151,3,11,4,1
172,2,1,1,0
800,3,15,3,1
269,0,3,2,0
163,3,5,9,1
288,0,3,1,0
290,0,0,2,0
242,4,0,1,0
31,2,2,0,0
346,1,4,5,0
211,0,18,0,1
193,2,1,1,1
255,2,1,2,0
885,1,25,4,1
174,10,18,7,1
753,4,0,2,1
107,2,3,2,0
103,4,3,7,1
298,0,1,1,0
168,4,2,1,0
327,9,11,9,1
189,4,2,0,0
44,2,2,0,0
955,8,16,10,1
832,6,25,1,1
226,2,3,2,0
192,3,16,3,1
312,2,2,2,0
194,2,3,3,0
128,2,3,1,0
147,2,21,5,1
57,8,15,6,1
83,2,1,0,0
274,2,2,2,0
256,2,3,2,0
167,3,4,4,1
175,1,13,6,1
803,10,1,8,1
211,1,0,0,0
118,9,13,10,1
928,9,5,4,1
397,1,1,2,0
34,1,2,0,0
408,1,0,1,0
66,3,26,9,1
292,0,1,0,0
192,7,17,9,1
117,7,9,10,1
415,3,19,9,1
174,0,3,6,0
254,4,18,9,1
107,1,0,2,0
543,1,4,10,1
535,3,11,3,1
140,1,2,2,0
107,2,0,2,0
127,6,28,10,1
233,0,0,1,0
275,1,2,2,0
148,0,1,6,0
757,9,12,7,1
158,2,4,1,0
106,7,11,1,1
119,4,4,3,1
129,3,14,3,1
301,9,6,7,1
89,1,2,1,0
292,0,4,0,0
83,1,2,1,0
355,5,13,4,1
211,1,2,1,0
186,2,2,2,0
193,0,0,2,0
95,2,3,0,0
213,2,8,1,0
585,9,9,0,1
155,4,15,10,1
177,0,1,1,0
646,4,25,9,1
427,2,2,1,0
206,0,2,2,0
64,0,2,0,0
342,1,2,0,0
61,3,0,6,1
154,2,3,5,0
622,9,22,7,1
70,2,5,2,0
278,4,1,3,0
20,2,2,0,0
186,1,4,2,0
677,7,28,7,1
379,0,3,2,0
310,0,2,8,1
769,10,3,5,1
179,2,29,6,1
71,2,0,2,0
551,3,29,6,1
962,8,5,5,1
269,5,2,1,0
138,0,4,1,0
258,5,9,2,0
454,4,15,2,1
159,5,1,2,0
737,2,4,7,1
446,1,0,2,0
182,2,9,10,1
208,2,8,1,0
990,3,6,5,1
343,5,0,4,1
269,3,0,1,0
804,10,15,3,1
149,2,8,0,0
652,10,12,6,1
84,4,2,2,0
146,4,0,6,0
161,1,3,1,0
130,3,13,5,1
177,2,13,8,1
402,2,3,2,0
937,4,8,4,1
278,2,3,1,0
891,8,5,2,1
210,0,0,4,0
80,3,13,6,1
810,6,15,4,1
269,2,3,2,0
197,2,3,1,0
91,5,4,4,1
157,1,1,1,0
291,5,1,0,0
111,2,0,3,0
860,3,23,5,1
552,0,13,4,1
173,9,11,1,1
250,3,7,0,0
130,6,23,4,1
111,2,7,3,1
73,8,11,9,1
477,2,25,10,1
341,6,28,6,1
655,7,10,1,1
281,1,1,0,0
51,5,7,2,0
936,3,29,4,1
119,2,0,5,0
179,0,1,2,0
62,2,10,1,0
289,3,3,3,0
445,0,3,2,0
164,7,10,6,1
649,6,2,0,1
511,3,15,10,1
618,4,1,6,1
423,1,0,0,0
196,0,1,0,0
389,2,18,5,1
128,1,24,1,1
184,2,10,2,0
761,5,29,7,1
39,2,1,0,0
153,2,0,4,0
228,2,8,0,0
497,1,8,1,0
216,2,3,2,0
243,4,14,3,1
949,8,19,9,1
155,0,7,0,0
